EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E027,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,47.0,2004-06-07,246231.0,31% ,United States,Seattle,Still Working
E028,Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,Asian,68.0,1996-12-04,99354.0,12% ,China,Beijing,Still Working
E029,Dylan Choi,Vice President,IT,Corporate,Male,Asian,67.0,2012-05-11,231141.0,34% ,China,Beijing,Still Working
E030,Ezekiel Kumar,IT Coordinator,IT,Research & Development,Male,Asian,32.0,2017-06-25,54775.0,0% ,United States,Columbus,Still Working
E031,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,69.0,2004-05-16,55499.0,0% ,Brazil,Manaus,Still Working
E032,Angel Powell,Analyst II,Sales,Research & Development,Male,Caucasian,65.0,2008-07-11,66521.0,0% ,United States,Seattle,Still Working
E033,Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,34.0,2016-09-29,59100.0,0% ,China,Chongqing,Still Working
E034,Caroline Jenkins,Analyst,Finance,Research & Development,Female,Caucasian,31.0,2018-05-06,49011.0,0% ,United States,Chicago,Still Working
E035,Nora Brown,Enterprise Architect,IT,Manufacturing,Female,Caucasian,36.0,2014-02-11,99575.0,0% ,United States,Austin,Still Working
E036,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,38.0,2019-12-16,99989.0,0% ,China,Chengdu,Still Working
E037,Jackson Perry,Vice President,Marketing,Research & Development,Male,Caucasian,31.0,2019-10-20,256420.0,30% ,United States,Phoenix,Still Working
E038,Riley Padilla,Technical Architect,IT,Manufacturing,Female,Latino,39.0,2013-05-15,78940.0,0% ,United States,Miami,Still Working
E039,Leah Pena,Enterprise Architect,IT,Corporate,Female,Latino,61.0,1994-01-03,82872.0,0% ,Brazil,Manaus,Still Working
E040,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,34.0,2017-05-29,86317.0,0% ,China,Chengdu,2017-07-16
E041,Kennedy Foster,Manager,Marketing,Speciality Products,Female,Caucasian,57.0,2013-11-23,113135.0,5% ,United States,Austin,Still Working
E042,John Moore,Vice President,IT,Speciality Products,Male,Caucasian,56.0,2005-11-08,199808.0,32% ,United States,Seattle,Still Working
E043,William Vu,Account Representative,Sales,Speciality Products,Male,Asian,41.0,2013-11-14,56037.0,0% ,China,Shanghai,Still Working
E044,Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,Caucasian,33.0,2019-05-24,122350.0,12% ,United States,Phoenix,Still Working
E045,Gabriel Holmes,Enterprise Architect,IT,Research & Development,Male,Caucasian,49.0,2010-11-04,92952.0,0% ,United States,Seattle,Still Working
E046,Wyatt Rojas,Computer Systems Manager,IT,Corporate,Male,Latino,36.0,2013-03-20,79921.0,5% ,United States,Austin,Still Working
E047,Eva Coleman,Director,IT,Research & Development,Female,Black,41.0,2009-09-20,167199.0,20% ,United States,Seattle,Still Working
E048,Dominic Clark,Quality Engineer,Engineering,Research & Development,Male,Caucasian,56.0,2012-10-17,71476.0,0% ,United States,Phoenix,Still Working
E049,Lucy Alexander,Director,Engineering,Manufacturing,Female,Caucasian,49.0,2014-10-29,189420.0,20% ,United States,Seattle,Still Working
E050,Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,Female,Caucasian,68.0,2001-10-20,64057.0,0% ,United States,Phoenix,Still Working
E051,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,31.0,2021-09-21,68728.0,0% ,United States,Phoenix,Still Working
E052,Peyton Huang,Sr. Manger,IT,Manufacturing,Female,Asian,29.0,2021-07-02,125633.0,11% ,China,Beijing,Still Working
E053,John Contreras,Analyst II,Marketing,Manufacturing,Male,Latino,39.0,2011-05-15,66889.0,0% ,United States,Columbus,Still Working
E054,Rylee Yu,Director,Accounting,Research & Development,Female,Asian,40.0,2015-09-29,178700.0,29% ,United States,Seattle,Still Working
E055,Piper Lewis,Field Engineer,Engineering,Research & Development,Female,Caucasian,37.0,2018-12-22,113326.7,0% ,United States,Chicago,Still Working
E056,Stella Alexander,Automation Engineer,Engineering,Corporate,Female,Caucasian,56.0,2005-12-10,102043.0,0% ,United States,Chicago,Still Working
E057,Addison Do,Operations Engineer,Engineering,Manufacturing,Female,Asian,50.0,2001-05-30,90678.0,0% ,United States,Columbus,Still Working
E058,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,49.0,2021-03-11,135062.0,15% ,China,Chengdu,Still Working
E059,Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,59.0,2006-08-16,159044.0,10% ,Brazil,Manaus,Still Working
E060,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,48.0,2019-01-02,74691.0,0% ,Brazil,Manaus,2020-07-08
E061,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,48.0,2008-12-18,92753.0,13% ,United States,Austin,2021-06-24
E062,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,49.0,2013-08-07,236946.0,37% ,United States,Seattle,Still Working
E063,Penelope Coleman,Analyst,Finance,Corporate,Female,Black,40.0,2021-08-27,48906.0,0% ,United States,Miami,Still Working
E064,Piper Richardson,Sr. Analyst,Sales,Corporate,Female,Caucasian,42.0,2008-01-27,80024.0,0% ,United States,Columbus,Still Working
E065,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,45.0,2009-10-23,54415.0,0% ,United States,Seattle,2014-01-22
E066,Aurora Ali,Manager,Marketing,Research & Development,Female,Asian,34.0,2016-04-24,120341.0,7% ,United States,Seattle,Still Working
E067,Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,47.0,2009-08-04,208415.0,35% ,United States,Seattle,Still Working
E068,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,36.0,2020-01-05,78844.0,0% ,United States,Seattle,Still Working
E069,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,62.0,2002-05-23,76354.0,0% ,United States,Phoenix,2021-09-26
E070,Jade Rojas,Director,Finance,Speciality Products,Female,Latino,41.0,2019-01-28,165927.0,20% ,United States,Phoenix,Still Working
E071,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,42.0,2021-11-16,109812.0,9% ,Brazil,Manaus,Still Working
E072,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,59.0,1998-09-03,86299.0,0% ,United States,Seattle,Still Working
E073,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,61.0,2003-07-26,206624.0,40% ,Brazil,Sao Paulo,Still Working
E074,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,40.0,2010-12-23,53215.0,0% ,Brazil,Sao Paulo,2014-03-27
E075,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,34.0,2017-05-22,86858.0,0% ,China,Chongqing,2017-10-08
E076,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,44.0,2007-07-02,93971.0,8% ,China,Chongqing,Still Working
E077,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,38.0,2015-06-27,57008.0,0% ,United States,Phoenix,Still Working
E078,John Soto,Sr. Manger,Finance,Manufacturing,Male,Latino,64.0,2015-09-23,141899.0,15% ,United States,Phoenix,Still Working
E079,Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,45.0,2016-09-13,64847.0,0% ,United States,Miami,Still Working
E080,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,57.0,1992-04-08,116878.0,11% ,United States,Miami,Still Working
E081,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,49.0,2005-02-05,70505.0,0% ,United States,Austin,Still Working
E082,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,34.0,2016-05-22,189702.0,28% ,Brazil,Manaus,2020-12-21
E083,Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,30.0,2020-07-28,180664.0,27% ,United States,Chicago,Still Working
E084,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,49.0,2003-12-17,48345.0,0% ,China,Chengdu,Still Working
E085,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,46.0,2014-01-16,152214.0,30% ,China,Beijing,Still Working
E086,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,45.0,2009-04-28,69803.0,0% ,Brazil,Manaus,Still Working
E087,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,52.0,2019-07-04,76588.0,0% ,Brazil,Rio de Janerio,Still Working
E088,Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,Caucasian,33.0,2018-12-10,84596.0,0% ,United States,Miami,Still Working
E089,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,31.0,2018-09-25,114441.0,10% ,China,Chongqing,2019-12-22
E090,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,37.0,2018-04-21,140402.0,15% ,China,Beijing,Still Working
E091,Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,30.0,2019-04-23,59817.0,0% ,Brazil,Sao Paulo,Still Working
E092,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,35.0,2017-07-22,55854.0,0% ,United States,Austin,Still Working
E093,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,57.0,2002-11-16,113326.7,0% ,United States,Seattle,Still Working
E094,Mia Cheng,Sr. Manger,Sales,Manufacturing,Female,Asian,38.0,2015-04-22,154941.0,13% ,United States,Phoenix,Still Working
E095,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,58.0,2011-07-10,247022.0,30% ,China,Beijing,Still Working
E096,Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,36.0,2021-10-05,88072.0,0% ,Brazil,Sao Paulo,Still Working
E097,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,32.0,2020-05-26,67925.0,8% ,China,Shanghai,Still Working
E098,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,35.0,2020-08-20,219693.0,30% ,United States,Austin,Still Working
E099,Samantha Adams,Test Engineer,Engineering,Research & Development,Female,Caucasian,49.0,2013-04-22,61773.0,0% ,United States,Seattle,Still Working
E100,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,52.0,2007-01-09,74546.0,9% ,United States,Seattle,Still Working
E101,Noah King,Development Engineer,Engineering,Speciality Products,Male,Black,60.0,2015-01-27,62575.0,0% ,United States,Miami,Still Working
E102,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,31.0,2021-02-23,199041.0,16% ,China,Beijing,Still Working
E103,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,59.0,2007-04-05,52310.0,0% ,United States,Miami,2018-10-12
E104,Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,Black,68.0,2013-06-29,159571.0,10% ,United States,Columbus,Still Working
E105,Ivy Soto,Field Engineer,Engineering,Research & Development,Female,Latino,54.0,1997-10-23,91763.0,0% ,United States,Austin,Still Working
E106,Aurora Simmons,Development Engineer,Engineering,Corporate,Female,Caucasian,55.0,1995-12-22,96475.0,0% ,United States,Austin,Still Working
E107,Andrew Thomas,Controls Engineer,Engineering,Manufacturing,Male,Caucasian,40.0,2016-12-02,113326.7,0% ,United States,Columbus,Still Working
E108,Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,46.0,2003-01-15,166599.0,26% ,United States,Seattle,Still Working
E109,Gabriella Gupta,Sr. Account Representative,Sales,Corporate,Female,Asian,45.0,2005-02-15,95372.0,0% ,China,Shanghai,Still Working
E110,Skylar Liu,Director,IT,Research & Development,Female,Asian,33.0,2020-08-09,161203.0,15% ,China,Chengdu,Still Working
E111,Evelyn Dinh,Director,Sales,Research & Development,Female,Asian,45.0,2018-08-10,171173.0,21% ,United States,Columbus,Still Working
E112,Brooks Marquez,Vice President,Sales,Corporate,Male,Latino,65.0,2019-09-24,201464.0,37% ,United States,Chicago,Still Working
E113,Mia Lam,Sr. Manger,IT,Manufacturing,Female,Asian,53.0,2006-04-18,134486.0,14% ,United States,Austin,Still Working
E114,Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,Female,Latino,64.0,2007-02-24,71699.0,0% ,Brazil,Manaus,Still Working
E115,Cora Rivera,Sr. Analyst,Marketing,Corporate,Female,Latino,46.0,2021-01-02,94430.0,0% ,United States,Seattle,Still Working
E116,Liam Jung,Manager,Finance,Corporate,Male,Asian,43.0,2010-01-14,103504.0,7% ,China,Chengdu,Still Working
E117,Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,Asian,59.0,2005-08-09,92771.0,0% ,United States,Miami,Still Working
E118,Athena Carrillo,Analyst II,Finance,Speciality Products,Female,Latino,43.0,2006-04-06,71531.0,0% ,United States,Columbus,Still Working
E119,Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,Male,Black,32.0,2019-03-06,90304.0,0% ,United States,Chicago,Still Working
E120,Vivian Lewis,Manager,Marketing,Manufacturing,Female,Caucasian,69.0,2011-09-07,104903.0,10% ,United States,Columbus,Still Working
E121,Elena Vang,Analyst,Finance,Corporate,Female,Asian,56.0,2019-02-19,55859.0,0% ,China,Beijing,Still Working
E122,Natalia Diaz,Operations Engineer,Engineering,Corporate,Female,Latino,66.0,2006-10-12,79785.0,0% ,United States,Austin,Still Working
E123,Mila Leung,Sr. Analyst,Marketing,Corporate,Female,Asian,43.0,2007-11-05,99017.0,0% ,China,Beijing,Still Working
E124,Ava Nelson,Systems Analyst,IT,Manufacturing,Female,Caucasian,67.0,1992-04-01,53809.0,0% ,United States,Phoenix,Still Working
E125,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,31.0,2020-04-16,71864.0,0% ,China,Chengdu,Still Working
E126,Isla Lai,Vice President,Finance,Corporate,Female,Asian,41.0,2011-12-06,225558.0,33% ,China,Shanghai,Still Working
E127,Nolan Guzman,Field Engineer,Engineering,Speciality Products,Male,Latino,50.0,1999-06-20,96997.0,0% ,Brazil,Sao Paulo,Still Working
E128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,58.0,2018-01-22,176294.0,28% ,United States,Austin,Still Working
E129,Evelyn Jung,Analyst,Sales,Research & Development,Female,Asian,34.0,2021-02-14,48340.0,0% ,China,Beijing,Still Working
E130,Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,32.0,2017-07-06,240488.0,40% ,Brazil,Rio de Janerio,Still Working
E131,Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,Caucasian,44.0,2011-01-22,97339.0,0% ,United States,Austin,Still Working
E132,Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,Asian,53.0,2003-02-28,211291.0,37% ,China,Chongqing,Still Working
E133,Levi Mendez,Vice President,Sales,Research & Development,Male,Latino,43.0,2011-08-23,249506.0,30% ,Brazil,Rio de Janerio,Still Working
E134,Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,Asian,65.0,2002-11-22,80950.0,0% ,China,Chongqing,Still Working
E135,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,50.0,2021-01-10,86538.0,0% ,China,Chengdu,Still Working
E136,Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,39.0,2019-09-07,70992.0,0% ,United States,Austin,Still Working
E137,Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,65.0,2017-03-10,196951.0,33% ,China,Beijing,Still Working
E138,Matthew Gupta,Network Engineer,IT,Speciality Products,Male,Asian,49.0,2005-09-18,67686.0,0% ,China,Beijing,Still Working
E139,Colton Thao,Manager,Human Resources,Manufacturing,Male,Asian,59.0,1995-11-16,125936.0,8% ,China,Chongqing,Still Working
E140,Genesis Perry,Sr. Manger,Sales,Corporate,Female,Caucasian,50.0,2013-07-18,149712.0,14% ,United States,Columbus,Still Working
E141,Alexander Bryant,Field Engineer,Engineering,Speciality Products,Male,Caucasian,34.0,2021-10-02,88758.0,0% ,United States,Seattle,Still Working
E142,Elias Zhang,Solutions Architect,IT,Research & Development,Male,Asian,58.0,2013-07-13,83639.0,0% ,China,Beijing,Still Working
E143,Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,58.0,1998-05-18,68268.0,0% ,United States,Phoenix,Still Working
E144,Jaxon Park,Network Architect,IT,Manufacturing,Male,Asian,37.0,2020-07-24,69453.0,0% ,China,Chengdu,Still Working
E145,Elijah Henry,Manager,IT,Corporate,Male,Caucasian,36.0,2014-01-03,127148.0,10% ,United States,Miami,Still Working
E146,Camila Watson,Vice President,Finance,Speciality Products,Female,Caucasian,36.0,2018-01-02,190253.0,33% ,United States,Austin,Still Working
E147,Lucas Thomas,Manager,Accounting,Research & Development,Male,Caucasian,59.0,2000-04-28,115798.0,5% ,United States,Miami,Still Working
E148,Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,62.0,1994-08-21,93102.0,0% ,United States,Seattle,2013-12-13
E149,Hudson Liu,Engineering Manager,Engineering,Speciality Products,Male,Asian,38.0,2017-11-16,110054.0,15% ,United States,Miami,Still Working
E150,Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,Black,31.0,2021-01-28,95786.0,0% ,United States,Chicago,Still Working
E151,Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,Male,Latino,65.0,2017-05-03,90855.0,0% ,Brazil,Sao Paulo,Still Working
E152,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,Latino,51.0,1999-03-14,92897.0,0% ,Brazil,Sao Paulo,Still Working
E153,Joseph Ly,Vice President,Marketing,Speciality Products,Male,Asian,44.0,2009-02-28,242919.0,31% ,China,Chongqing,Still Working
E154,Daniel Richardson,Director,Engineering,Speciality Products,Male,Caucasian,34.0,2018-05-20,184368.0,29% ,United States,Austin,Still Working
E155,Elias Figueroa,Sr. Manger,Finance,Corporate,Male,Latino,49.0,2021-12-24,144754.0,15% ,United States,Phoenix,Still Working
E156,Emma Brooks,Sr. Account Representative,Sales,Research & Development,Female,Caucasian,34.0,2016-12-18,89458.0,0% ,United States,Austin,Still Working
E157,Isla Wong,Vice President,Accounting,Corporate,Female,Asian,60.0,2014-03-16,190815.0,40% ,United States,Austin,Still Working
E158,Everly Walker,Sr. Manger,Sales,Research & Development,Female,Caucasian,66.0,1999-08-02,137995.0,14% ,United States,Austin,Still Working
E159,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,49.0,2007-12-21,93840.0,0% ,Brazil,Manaus,Still Working
E160,Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,50.0,2021-10-26,94790.0,0% ,China,Chongqing,Still Working
E161,Jaxson Mai,Vice President,Human Resources,Research & Development,Male,Asian,52.0,2014-03-08,197367.0,39% ,United States,Austin,Still Working
E162,Ava Garza,Director,Accounting,Manufacturing,Female,Latino,31.0,2018-06-25,174097.0,21% ,United States,Phoenix,Still Working
E163,Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,57.0,2006-10-31,120128.0,10% ,United States,Austin,Still Working
E164,Maria Griffin,Manager,Marketing,Manufacturing,Female,Caucasian,63.0,2007-04-25,129708.0,5% ,United States,Miami,Still Working
E165,Alexander Choi,Manager,Marketing,Research & Development,Male,Asian,59.0,1994-09-18,102270.0,10% ,United States,Chicago,Still Working
E166,Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,47.0,2005-07-31,249686.0,31% ,China,Chongqing,Still Working
E167,Sophie Ali,Analyst,Finance,Manufacturing,Female,Asian,59.0,2002-03-28,50475.0,0% ,United States,Columbus,Still Working
E168,Julian Ross,Manager,Marketing,Research & Development,Male,Caucasian,55.0,2020-07-02,100099.0,8% ,United States,Miami,Still Working
E169,Emma Hill,IT Coordinator,IT,Manufacturing,Female,Caucasian,58.0,2016-12-27,41673.0,0% ,United States,Miami,Still Working
E170,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,Asian,51.0,2017-07-12,70996.0,0% ,China,Chengdu,Still Working
E171,Jack Brown,Analyst,Marketing,Corporate,Male,Caucasian,59.0,2004-12-07,40752.0,0% ,United States,Phoenix,Still Working
E172,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,54.0,2001-01-23,97537.0,0% ,China,Chengdu,Still Working
E173,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,35.0,2020-09-12,96567.0,0% ,China,Shanghai,Still Working
E174,Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,51.0,1999-03-10,49404.0,0% ,China,Beijing,Still Working
E175,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,33.0,2019-10-15,66819.0,0% ,Brazil,Rio de Janerio,Still Working
E176,Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,42.0,2016-05-02,50784.0,0% ,Brazil,Rio de Janerio,Still Working
E177,Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,Latino,33.0,2019-05-09,125828.0,15% ,Brazil,Sao Paulo,Still Working
E178,Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,Male,Caucasian,37.0,2017-08-04,92610.0,0% ,United States,Columbus,Still Working
E179,Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,Caucasian,54.0,2003-03-25,123405.0,13% ,United States,Columbus,Still Working
E180,Ayla Ng,Account Representative,Sales,Manufacturing,Female,Asian,50.0,2004-03-20,73004.0,0% ,China,Beijing,Still Working
E181,Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,61.0,1999-04-25,95061.0,10% ,China,Shanghai,Still Working
E182,Aubrey Romero,Director,Sales,Corporate,Female,Latino,53.0,1998-04-02,160832.0,30% ,United States,Phoenix,Still Working
E183,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,Black,58.0,2010-12-28,64417.0,0% ,United States,Columbus,Still Working
E184,Elias Ali,Manager,Sales,Corporate,Male,Asian,32.0,2021-03-19,127543.0,6% ,China,Shanghai,Still Working
E185,Nolan Pena,Analyst,Marketing,Manufacturing,Male,Latino,34.0,2018-06-21,56154.0,0% ,Brazil,Sao Paulo,Still Working
E186,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,40.0,2014-02-22,218530.0,30% ,China,Shanghai,Still Working
E187,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,40.0,2019-12-19,91954.0,0% ,United States,Columbus,Still Working
E188,Hadley Parker,Vice President,Marketing,Corporate,Female,Black,34.0,2016-09-21,221217.0,32% ,United States,Columbus,2017-09-25
E189,Jonathan Chavez,System AdministratorÊ,IT,Manufacturing,Male,Latino,33.0,2017-05-11,87536.0,0% ,United States,Seattle,Still Working
E190,Sarah Ayala,Analyst,Sales,Corporate,Female,Latino,51.0,2015-06-09,41429.0,0% ,United States,Seattle,Still Working
E191,Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,39.0,2011-10-10,245482.0,39% ,United States,Seattle,Still Working
E192,Ella White,Development Engineer,Engineering,Manufacturing,Female,Caucasian,29.0,2020-01-20,71359.0,0% ,United States,Phoenix,Still Working
E193,Jordan Truong,Director,Engineering,Speciality Products,Male,Asian,49.0,2014-08-28,183161.0,22% ,United States,Miami,Still Working
E194,Daniel Jordan,Network Administrator,IT,Corporate,Male,Caucasian,62.0,1993-07-26,69260.0,0% ,United States,Phoenix,Still Working
E195,Daniel Dixon,Operations Engineer,Engineering,Speciality Products,Male,Caucasian,55.0,1999-10-09,95639.0,0% ,United States,Austin,Still Working
E196,Luca Duong,Manager,Human Resources,Research & Development,Male,Asian,52.0,2004-06-30,120660.0,7% ,China,Chengdu,Still Working
E197,Levi Brown,Sr. Analyst,Sales,Corporate,Male,Black,40.0,2021-12-26,75119.0,0% ,United States,Chicago,Still Working
E198,Mason Cho,Vice President,Accounting,Research & Development,Male,Asian,63.0,2011-05-18,192213.0,40% ,United States,Chicago,Still Working
E199,Nova Herrera,Account Representative,Sales,Speciality Products,Female,Latino,49.0,2014-05-10,65047.0,0% ,Brazil,Sao Paulo,Still Working
